SITE,POOL#,ANENOME,ARTC,BARN,BLEACHEDARTC,BLEACHEDENCC,BLEACHEDMAST,BLEACHEDODAN,BIOFILM,BRYOZOAN,CERAMIUM,CHONDRACANTHUS,CONSTANTINIA,CRUST,CRYPTO,DERMASTERIAS,DILSEA,EGREGIA,ELEGANTISSIMA,ENCC,ENCR,FILRED,GELLIDIUM,GUMBOOT,HERMIT,ISOPOD,JUVMAST,JUVMAZZ,JUVPRIO,JUVRED,JUVULVA,LAMELLOSA,LAMINARIA,LEPTASTERIAS,LIMPET,LITTORINE,MARGHARITES,MAST,MASTGAM,MAZZ,MOPALIA,MUSSEL,NEO,NEOGASTROCLONIUM,ODAN,ODAN-SORANTHERA,OSMUNDEA,PACHYGRAPSUS,PLOCAMIUM,PRIO,PTILOTA,PUGETTIA,RED1,RED2,RED3,RED4,RED5,RED6,RED7,RED8,RED9,RED10,RED11,RED12,RED13,REDTURF,REDHOLDFAST,SCULPIN,SERPULID,SG,SG-SMITH,SPIRORBID,SPONGE,TEGULA,ULVA,URCHIN,XANTH,SUM,SG Cover,Diversity,Dominance
MR,1,9.69154E-05,0.042099385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000568069,0.009488577,0,0,0,2.17456E-05,0,0,0,0,2.17456E-05,0,0,0,0,0,0,0,2.17456E-05,0,0,0,0,0.001169427,0,0.001169427,0,0,0,0,0.005337324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180955462,2.17456E-05,0,0,0.004061586,0,0,0.000210475,0.245243631,82.1,0.754756369,4.077577865
MR,2,0,0,1.00909E-05,0,7.91128E-05,3.26946E-05,0.000552579,0.001977819,0,0,0,0,0,0,0,0,0,0,0.026659794,0.000316451,0,0,0,3.26946E-05,0,7.91128E-05,0,0,0.000213524,0,1.00909E-05,0,0,1.00909E-05,0.001049859,0,0.000145713,0.002583274,0,1.00909E-05,0,0,0,0.148719503,0,0,0,0,0.000213524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006408135,0,0,0,0.014114768,0,0,0,0.203218921,12.6,0.796781079,4.920801637
MR,4,0,0.029866335,0,0,0,0,0,0,0,0,0,0,0,2.53367E-05,0,0,0,0,0.012511949,0,0,2.53367E-05,0,0,0,0,0,0,0.000633417,0,0,0,0,0,0,0,0.000101347,0.000912121,2.53367E-05,0,0,0.001621549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53367E-05,0,0,0,0,0,0.301639316,0,0,0,0.001621549,0,0,0,0.349008929,98.2,0.650991071,2.865256211
MR,5,0.000779835,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0,0,0,0,0,0.000779835,0,0,0,0,0.000779835,0,0,0.000779835,0,0,0,0.006944444,0.000779835,0,0,0,0,0,0,0,0,0,0.000779835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249114261,0,0,0,0.006944444,0,0,0,0.281571051,0,0.718428949,3.551501466
MR,6,0,0.163078783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027731539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005127562,0,0,0,0.002332222,0,0.000583056,0,0,0,0,0.009009977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000583056,0,0,0,0,0,0.009009977,0,0,0.005127562,0.222583734,0,0.777416266,4.492691283
MR,7,0,0.024833322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00278869,0,0,0,0,0,0,0,0,0,0.00278869,0,0,0,0.069275299,0,0,0.00278869,0,0,0,0,0,0,0,0.04426562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024833322,0,0.00278869,0,0.174362322,0,0.825637678,5.735184014
MR,8,0,4.33233E-05,0,0,0,0,0,0,0,0,4.33233E-05,0,0,0,0,0,0,0,0.055259255,0,0,0,0,4.33233E-05,0,0.000389909,0,0,0.001052357,0,4.33233E-05,0,0,0,0,0,4.33233E-05,0.000173293,0.013814814,0,0,0.000389909,0,0.003453703,0,0,0,0,0.000173293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203283549,0,0,0,4.33233E-05,0,0,0,0.278250023,95.9,0.721749977,3.593890084
MR,9,0,0,0,0,0,0,0,0,0,0.000266245,0,0,0,0,0,0,0,0,0.018436449,2.75075E-05,0,0,0,0.00011003,0,0,0,0,0.00300069,0,0,0,0,0,0,0,0.000247567,0.000266245,0.015552241,0,0,0.00046491,0,0.000750173,0,2.75075E-05,0,0,0.00147929,0,0,2.75075E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75075E-05,0,0.230019737,0,0,0,0.001434803,0,0,0,0.272138409,82.3,0.727861591,3.674600738
MR,10,0,0.001427237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084594398,0,0,0,0,0.000649705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000162426,0,0,0.019399152,0,0,0,0,0,0,0.004002852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125723019,0,0,0,0.005777937,0,0,0,0.241736725,77.9,0.758263275,4.13673181
MR,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041304972,0,0,0,0,0,0,0.000352321,0,0,0.008566731,0,0,0,0,0,0,0,0.003098417,0,0,0,0,0,0,0.008566731,0,0,0,0,0.000352321,0,0,0,0,0,0.003098417,0.003098417,0,0,0,0,0,0,0,0,0,0,0,0,0.087493428,0,0,0,0.01239367,0,0,0,0.168325426,45.7,0.831674574,5.940873127
MR,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025590819,0,0,0,0,0,0,0,0,0,0.001613803,0,0,0,0,0,0,0,0.001613803,0,0.001613803,0,0,0.014351834,0,0,0,0,0,0,0.001613803,0,0,0,0.001613803,0.001613803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159083096,0,0.001613803,0,0.001613803,0,0,0,0.211936172,55.6,0.788063828,4.718401717
MR,13,0,0.000286579,7.16449E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018015028,0,0,0,0,0.004503757,0,0,0,0,0.000286579,0,7.16449E-05,0,0,7.16449E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474216256,0,0,0,0.002579215,0,0,0,0.50010235,100,0.49989765,1.999590685
MR,14,0,0.076350416,0,0,0,0,0,0,0,0,0,0,0,0.002120845,0,0,0,0,0.022896468,0,0.00017313,0,0,0.00017313,0,0,0,4.32825E-05,4.32825E-05,0,0,0,0,0,0,0,0,0,0.000692521,0,0,0.000692521,0,0.00848338,0,0.000692521,0,0,0.005237188,0,0,0,0,0,0,0,4.32825E-05,0.00017313,4.32825E-05,0.000389543,0,0,0,0,0,0,0,0,0.024930748,0,0,0,0.001082064,0,0,4.32825E-05,0.144304017,24,0.855695983,6.929814037
MR,15,0,0.114415885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005167746,0,0,0,0,0.001291936,0,0,0.001291936,0,0.000322984,0,0,0,0,0,0,0,0.007959663,0,0.005167746,0,0,0,0,0.031838653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007959663,0,0,0,0.005075877,0,0,0,0.180492089,13.9,0.819507911,5.54040902
MR,16,0,0.059872533,0,0,0,0,0,0,0,0,2.62985E-05,0,0,0.000420776,0,0,0,0,0.011440379,2.62985E-05,0,0.016249245,0,0.000236686,0,0,0,0,0.000236686,0,0,0,0,0,2.62985E-05,0,0,0.000420776,2.62985E-05,0,0,0.001683103,0,0,0,0,0,0,0.002130178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075473977,0,0,0,0.003182117,0,0,0.000105194,0.171556844,37.5,0.828443156,5.828971778
MR,17,0,0.232254318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000326608,0,0.000326608,0.005520072,0,0.000326608,0,0,0,0,0,0,0,0,0,0,0.000326608,0,0,0.000326608,0,0,0,0.003161239,0,0,0,0,0,0,0.077906002,0,0,0,0,0,0,0,0,0,0,0,0,0.000326608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320801277,0,0.679198723,3.11719457
MR,18,0,0.002554864,0,0,0,0,0,0,0,0,5.27864E-06,0,0,1.61658E-05,0,0,0,0,0.018064842,0.001109835,0.000258654,0.000337833,0,2.11146E-05,0,0,0,0,1.61658E-05,0,0,0,0,0,0,0,0.000698101,0.000581971,0.000610013,0,0,0.003040499,5.27864E-06,0.020784994,0,0,0,0,0.000698101,0,1.61658E-05,0,0,0,0,0,0,0,0,0,5.27864E-06,0,0,0,0,0,0,0,0.13052802,0.000258654,0,0,0.001351333,0,0,7.42309E-05,0.181037392,62.9,0.818962608,5.523720749
MR,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018147264,0,0,0,0,0.00053745,0,0.000127198,0,0,0.000867221,0,0,0,0,3.17994E-05,0.000127198,0,0.000867221,0.02318178,0,0,3.17994E-05,0,0,0,0,0,3.17994E-05,0,0.000830711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248123834,0,0,0,0.004164939,0,0,0,0.297070213,79.5,0.702929787,3.366207569
MR,20,0,0,0.000154013,0,0,0.000154013,0,0.000138228,0,0,0,0,0.002399784,0,0,0,0,0,0.001802504,0.000154013,0,0,0,0,0,0.000584054,0,0,0.000584054,0,0,0,0,0.000334477,0.005447616,0,0.012329557,0.004614411,0,0,3.45569E-05,3.45569E-05,0,0.018280594,0,0,0,0,0.005351625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076697522,0,0,0,0.001386115,0,3.45569E-05,0,0.13051625,42.4,0.86948375,7.66188118
